"Invoice","11/19/2015","26729","Piranha Power Pole with Lever Lock 8'x16'","Adcock:Adcock Baton Rouge","PP-LV8 (Piranha Power Pole with Lever Lock 8'x16')",20,,39.40,788.00,788.00
"Invoice","11/19/2015","26729",,"Adcock:Adcock Baton Rouge","Shipping",1,,85.56,85.56,873.56
"Invoice","06/28/2016","27561","20"" Stainless Steel","Adcock:Adcock Baton Rouge","PA 20SS (20"" Stainless Steel)",12,,18.85,226.20,1099.76
"Invoice","06/28/2016","27561","Piranha Power Pole with Lever Lock 8'x16'","Adcock:Adcock Baton Rouge","PP-LV8 (Piranha Power Pole with Lever Lock 8'x16')",60,,39.40,2364.00,3463.76
"Invoice","06/28/2016","27561","Piranha 2 with regular black bag","Adcock:Adcock Baton Rouge","PA2 500 (Piranha 2 with regular black bag)",12,,17.55,210.60,3674.36
"Invoice","06/28/2016","27561","20"" White Nylon Brush","Adcock:Adcock Baton Rouge","PA 20WN (20"" White Nylon Brush)",12,,12.85,154.20,3828.56
"Invoice","06/30/2016","27578","Piranha Complete with Quick-Flip Bag","Adcock:Adcock Baton Rouge","PA 533 (Piranha Complete with Quick-Flip Bag)",12,,18.17,218.04,4046.60
"Invoice","04/01/2016","27146","Piranha Power Pole with Lever Lock 8'x16'","Adcock:Adcock Huntington Valley","PP-LV8 (Piranha Power Pole with Lever Lock 8'x16')",80,,39.40,3152.00,3152.00
"Invoice","04/01/2016","27146","Piranha 2 w/Deep Bag","Adcock:Adcock Huntington Valley","PA2 560 (Piranha 2 w/Deep Bag)",36,,18.85,678.60,3830.60
"Invoice","06/28/2016","27563","Piranha Power Pole with Lever Lock 8'x16'","Adcock:Adcock Huntington Valley","PP-LV8 (Piranha Power Pole with Lever Lock 8'x16')",80,,39.40,3152.00,6982.60
"Invoice","02/03/2016","26925","Piranha Power Pole with Lever Lock 8'x16'","Adcock:Adcock Norfolk","PP-LV8 (Piranha Power Pole with Lever Lock 8'x16')",70,,39.40,2758.00,2758.00
"Invoice","02/03/2016","26925","Quantity Disount","Adcock:Adcock Norfolk","10.5% (Quantity Disount)","",,-10.50%,-289.59,2468.41
"Invoice","02/03/2016","26925","Stingray Vinyl Net, Fine Mesh","Adcock:Adcock Norfolk","VSR 490 (Stingray Vinyl Net, Fine Mesh)",24,,13.50,324.00,2792.41
"Invoice","02/03/2016","26925","Quantity Disount","Adcock:Adcock Norfolk","10.5% (Quantity Disount)","",,-10.50%,-34.02,2758.39
"Invoice","02/03/2016","26925","Stingray Vinyl Flat SKimmer w/ Fine Mesh","Adcock:Adcock Norfolk","VSR 290 (Stingray Vinyl Flat SKimmer w/ Fine Mesh)",24,,12.10,290.40,3048.79
"Invoice","02/03/2016","26925","Quantity Disount","Adcock:Adcock Norfolk","10.5% (Quantity Disount)","",,-10.50%,-30.49,3018.30
"Invoice","02/03/2016","26925","Piranha 2 w/Quick Flip Bag","Adcock:Adcock Norfolk","PA2 533 (Piranha 2 w/Quick Flip Bag)",30,,18.85,565.50,3583.80
"Invoice","02/03/2016","26925","Quantity Disount","Adcock:Adcock Norfolk","10.5% (Quantity Disount)","",,-10.50%,-59.38,3524.42
"Invoice","02/03/2016","26925","20"" White Nylon Brush","Adcock:Adcock Norfolk","PA 20WN (20"" White Nylon Brush)",72,,12.85,925.20,4449.62
"Invoice","02/03/2016","26925","Quantity Disount","Adcock:Adcock Norfolk","10.5% (Quantity Disount)","",,-10.50%,-97.15,4352.47
"Invoice","02/03/2016","26925","20"" Stainless Steel","Adcock:Adcock Norfolk","PA 20SS (20"" Stainless Steel)",24,,18.40,441.60,4794.07
"Invoice","02/03/2016","26925","Quantity Disount","Adcock:Adcock Norfolk","10.5% (Quantity Disount)","",,-10.50%,-46.37,4747.70
"Invoice","05/19/2016","27358","Piranha Power Pole Lever Replacement","Adcock:Adcock Norfolk","PP LV RP (Piranha Power Pole Lever Replacement)",12,,5.50,66.00,4813.70
"Invoice","05/19/2016","27358",,"Adcock:Adcock Norfolk","Shipping",1,,10.36,10.36,4824.06
"Invoice","06/14/2016","27480","Stingray Vinyl Flat SKimmer w/ Fine Mesh","Adcock:Adcock Norfolk","VSR 290 (Stingray Vinyl Flat SKimmer w/ Fine Mesh)",24,,10.83,259.92,5083.98
"Invoice","06/14/2016","27480",,"Adcock:Adcock Norfolk","Shipping",1,,48.52,48.52,5132.50
